Vlan Name;Vlan ID;VNI ID;Connectivity Template;IPv4 Subnet;Virtual Gateway IP;VRF;Switches;
HRB_VL3100_SIEBEL_HB_2;3100;713100;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-84;
HRB_VL3043_SQL_KONS_1;3043;713043;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-85;
HRB_VL3044_SQL_KONS_2;3044;713044;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-86;
HRB_VL3031;3031;713031;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-87;
HRB_VL3032;3032;713032;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-88;
HRB_VL3033;3033;713033;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-89;
HRB_VL3034;3034;713034;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-90;
HRB_VL3035;3035;713035;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-91;
HRB_VL3037;3037;713037;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-92;
HRB_VL3038;3038;713038;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-93;
HRB_VL3039;3039;713039;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-94;
