etherchannel;etherchannel tipi;port vlan;trunk allowed vlans;generic host hostname;tag;seri no;SWITCH;PORT;SPEED;NEW DESCRIPTION;
;;;;TAPSERVER-ILO-FTNHR53;;;UMK-DC-F1-H1-R0-1BC51-U25-A-C-45;xe-0/0/14;1G;TAPSERVER-ILO-FTNHR53
;;;;TTSES-SIS-WEB-ANK-02-DR68032;;;UMK-DC-F1-H1-R0-1BC51-U25-A-C-45;xe-0/0/15;1G;TTSES-SIS-WEB-ANK-02-DR68032
;;;;SUNUCU-9;;;UMK-DC-F1-H1-R0-1BC51-U25-A-C-45;xe-0/0/16;1G;SUNUCU-9
;;;;MATERABA-ONEVIEW-ILO;;;UMK-DC-F1-H1-R0-1BC51-U25-A-C-45;xe-0/0/17;1G;MATERABA-ONEVIEW-ILO
;;;;SWIRLIX00SAP0-ILO-GVNHR53;;;UMK-DC-F1-H1-R0-1BC51-U25-A-C-45;xe-0/0/18;1G;SWIRLIX00SAP0-ILO-GVNHR53
;;;;SEIKO-ILO-JVNHR53;;;UMK-DC-F1-H1-R0-1BC51-U25-A-C-45;xe-0/0/19;1G;SEIKO-ILO-JVNHR53
;;;;SWIRLIX01SAP0-ILO-HVNHR53;;;UMK-DC-F1-H1-R0-1BC51-U25-A-C-45;xe-0/0/20;1G;SWIRLIX01SAP0-ILO-HVNHR53
;;;;MORTY01-ILO-CZ20490C05;;;UMK-DC-F1-H1-R0-1BC51-U25-A-C-45;xe-0/0/21;1G;MORTY01-ILO-CZ20490C05
;;;;MORTY02-ILO-CZ20490C06;;;UMK-DC-F1-H1-R0-1BC51-U25-A-C-45;xe-0/0/22;1G;MORTY02-ILO-CZ20490C06
;;;;SERIK02-ILO-CZ204909YY;;;UMK-DC-F1-H1-R0-1BC51-U25-A-C-45;xe-0/0/23;1G;SERIK02-ILO-CZ204909YY
;;;;KALKAN02-ILO-CZJ60103ZP;;;UMK-DC-F1-H1-R0-1BC51-U25-A-C-45;xe-0/0/24;1G;KALKAN02-ILO-CZJ60103ZP
;;;;PIGNITE02SDP0-ILO-FPB82L3;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/0;1G;PIGNITE02SDP0-ILO-FPB82L3
;;;;QUILAVA00GDF0-ILO-CZ20490B4B;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/1;1G;QUILAVA00GDF0-ILO-CZ20490B4B
;;;;CLOUDLINK-XATU03SHP0-ILO;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/2;1G;CLOUDLINK-XATU03SHP0-ILO
;;;;CLOUDLINK-XATU01SHP0-ILO;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/3;1G;CLOUDLINK-XATU01SHP0-ILO
;;;;CLOUDLINK-XATU02SHP0-ILO;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/4;1G;CLOUDLINK-XATU02SHP0-ILO
;;;;TTGYS-FIREWALL-MGMT-9;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/5;1G;TTGYS-FIREWALL-MGMT-9
